strategy,pair,year,chosen_params,train_sharpe,oos_return,oos_sharpe,oos_trades,oos_pf
mr_zscore,EURJPY,2020,"{""n"": 72, ""z"": 2.0}",0.0942,0.008504,0.217989,57,1.096996
mr_zscore,EURJPY,2021,"{""n"": 72, ""z"": 2.0}",0.1536,-0.013099,-0.365798,58,0.899058
mr_zscore,GBPUSD,2014,"{""n"": 72, ""z"": 2.0}",-0.034,-0.032768,-0.653946,67,0.788373
mr_zscore,GBPUSD,2015,"{""n"": 24, ""z"": 2.0}",-0.131,-0.03548,-0.80252,125,0.856233
mr_zscore,GBPUSD,2016,"{""n"": 72, ""z"": 2.0}",-0.2851,-0.083977,-2.065681,58,0.552913
mr_zscore,GBPUSD,2017,"{""n"": 24, ""z"": 2.0}",-0.6177,-0.016998,-0.362786,119,0.923509
mr_zscore,GBPUSD,2018,"{""n"": 24, ""z"": 2.0}",-0.5081,-0.080203,-1.862894,127,0.707865
mr_zscore,GBPUSD,2019,"{""n"": 72, ""z"": 2.0}",-0.839,-0.045455,-1.214135,53,0.694043
mr_zscore,GBPUSD,2020,"{""n"": 72, ""z"": 2.0}",-0.9592,0.006322,0.168841,65,1.038217
mr_zscore,GBPUSD,2021,"{""n"": 72, ""z"": 2.5}",-0.216,-0.035799,-1.135619,32,0.65267
mr_zscore,AUDUSD,2014,"{""n"": 72, ""z"": 2.5}",-0.2256,-0.015561,-0.536672,31,0.83801
mr_zscore,AUDUSD,2015,"{""n"": 72, ""z"": 2.0}",-0.4222,-0.003357,-0.06001,65,0.980025
mr_zscore,AUDUSD,2016,"{""n"": 72, ""z"": 2.0}",0.0447,-0.038376,-0.846957,59,0.774695
mr_zscore,AUDUSD,2017,"{""n"": 72, ""z"": 2.0}",-0.1741,-0.028405,-0.639338,58,0.810157
mr_zscore,AUDUSD,2018,"{""n"": 72, ""z"": 2.0}",-0.1629,-0.014897,-0.34426,56,0.904251
mr_zscore,AUDUSD,2019,"{""n"": 24, ""z"": 2.5}",-0.4431,-0.048567,-1.484814,68,0.706264
mr_zscore,AUDUSD,2020,"{""n"": 24, ""z"": 2.5}",-0.6316,-0.031503,-0.858222,76,0.810335
